status
Statement executed successfully.

status
Statement executed successfully.

ATTACHMENT_SOURCE,TRANSACTION_ID,PAYOFF_LOAN_ID,PAYOFFUID,LOANID,LOAN_TRANSACTION_DATE,APPLY_DATE,REVERSAL_DATE,LAST_UPDATED_DATE,LOAN_TRANSACTION_TYPE,DESCRIPTION,LOAN_TRANSACTION_AMOUNT,PAYMENT_FLAG,LOAN_PRINCIPAL,LOAN_INTEREST,STARTING_BALANCE,ENDING_BALANCE,POSTCHARGEOFFEVENT,CHARGEOFFEVENTIND,LOAN_REVERSED,LOAN_REJECTED,LOAN_CLEARED,ORIGINATION_DATE,LOAN_AMOUNT,TERM,INTEREST_RATE,LOAN_CLOSED_DATE,CHARGE_OFF_DATE
Attachment_B,8644499,356593,2b92cdf7-b5a9-493f-826a-878eb3ef32e1,356593,2025-06-18,2025-06-19,,2025-06-18T21:02:30,Payment,Regular: Transaction ID 8644499,719.03,True,362.53,356.50,25000.00,24637.47,False,False,0,0,1,2025-05-19,25000.0000,48.00000,16.7900,2025-07-01,
Attachment_B,8570314,173829,2bbbff4b-f7c3-46ac-a10b-8c91317c97cc,173829,2025-05-14,2025-05-14,,2025-05-14T19:35:15,Payment,Regular: Transaction ID 8570314,800.00,True,564.11,235.89,20000.00,19435.89,False,False,0,0,1,2025-04-23,20000.0000,36.00000,20.5000,,
Attachment_B,8662248,173829,2bbbff4b-f7c3-46ac-a10b-8c91317c97cc,173829,2025-06-30,2025-06-30,,2025-06-30T20:40:17,Payment,Regular: Transaction ID 8662248,748.58,True,235.53,513.05,19435.89,19200.36,False,False,0,0,1,2025-04-23,20000.0000,36.00000,20.5000,,
Attachment_B,8642656,356596,2e15ba20-a675-44a0-9675-f82cdef06e79,356596,2025-06-18,2025-06-19,,2025-06-18T21:01:09,Payment,Regular: Transaction ID 8642656,800.70,True,455.96,344.74,22000.00,21544.04,False,False,0,0,1,2025-05-19,22000.0000,36.00000,18.4500,,
Attachment_B,7377078,173822,2ea893f7-7520-4bca-93c3-ad40330e3531,173822,2025-05-07,2025-05-08,,2025-05-07T21:01:26,Payment,Regular: Transaction ID 7377078,748.58,True,580.09,168.49,20000.00,19419.91,False,False,0,0,1,2025-04-23,20000.0000,36.00000,20.5000,,
Attachment_B,8620213,173822,2ea893f7-7520-4bca-93c3-ad40330e3531,173822,2025-06-06,2025-06-08,,2025-06-06T21:02:05,Payment,Regular: Transaction ID 8620213,748.58,True,410.46,338.12,19419.91,19009.45,False,False,0,0,1,2025-04-23,20000.0000,36.00000,20.5000,,
Attachment_B,8636588,310633,30759e84-4055-4033-96a6-04abff4c1be7,310633,2025-06-14,2025-06-15,2025-06-18,2025-06-14T21:00:31,Payment,Regular: Transaction ID 8636588,748.76,True,321.91,426.85,19678.09,19356.18,False,False,1,0,0,2025-05-08,20000.0000,36.00000,20.5000,,
Attachment_B,8645763,310633,30759e84-4055-4033-96a6-04abff4c1be7,310633,2025-06-20,2025-06-20,,2025-06-20T14:54:31,Payment,Regular: Transaction ID 8645763,748.76,True,265.75,483.01,20000.00,19734.25,False,False,0,0,1,2025-05-08,20000.0000,36.00000,20.5000,,
Attachment_B,8661675,357080,336eab30-2132-4319-8d43-fc2c44bb7a65,357080,2025-06-29,2025-06-30,,2025-06-29T21:00:17,Payment,Regular: Transaction ID 8661675,515.79,True,198.15,317.64,20000.00,19801.85,False,False,0,0,1,2025-05-30,20000.0000,60.00000,18.7000,,
Attachment_B,8636347,267556,356261dc-048b-4bd9-9daf-d4d65cead877,267556,2025-06-13,2025-06-13,,2025-06-14T05:05:16,Payment,Regular: Transaction ID 8636347,660.67,True,294.09,366.58,18000.00,17705.91,False,False,0,0,1,2025-05-05,18000.0000,36.00000,19.0600,,
Attachment_B,8628201,356280,38d8e6aa-ad6b-4dc3-affd-4095d9fd328d,356280,2025-06-12,2025-06-13,,2025-06-12T21:01:01,Payment,Regular: Transaction ID 8628201,487.94,True,282.13,205.81,13500.00,13217.87,False,False,0,0,1,2025-05-13,13500.0000,36.00000,17.9500,,
Attachment_B,8631083,356436,3982cbd8-ad40-4fdb-a7f2-98860438cbcc,356436,2025-06-13,2025-06-14,,2025-06-13T21:01:16,Payment,Regular: Transaction ID 8631083,471.50,True,270.55,200.95,13000.00,12729.45,False,False,0,0,1,2025-05-14,13000.0000,36.00000,18.2000,,
Attachment_B,8619024,294011,42779e29-f9d8-4678-8d8c-93986dd69818,294011,2025-06-06,2025-06-07,,2025-06-06T21:01:17,Payment,Regular: Transaction ID 8619024,544.04,True,312.18,231.86,15000.00,14687.82,False,False,0,0,1,2025-05-07,15000.0000,36.00000,18.2000,,
Attachment_B,8591687,173823,4ff6bd6a-b6a3-4e82-bba6-8b886430607a,173823,2025-05-22,2025-05-23,,2025-05-22T21:01:26,Payment,Regular: Transaction ID 8591687,374.29,True,205.80,168.49,10000.00,9794.20,False,False,0,0,1,2025-04-23,10000.0000,36.00000,20.5000,2025-06-14,
Attachment_B,8636686,173823,4ff6bd6a-b6a3-4e82-bba6-8b886430607a,173823,2025-06-14,2025-06-14,,2025-06-14T23:45:16,Payment,Payoff: Transaction ID 8636686,9915.22,True,9794.20,121.02,9794.20,0.00,False,False,0,0,1,2025-04-23,10000.0000,36.00000,20.5000,2025-06-14,
Attachment_B,8613105,203800,56eb8451-8c8e-49d9-9b53-a010e3c36fef,203800,2025-06-04,2025-06-04,,2025-06-04T17:20:15,Payment,Regular: Transaction ID 8613105,650.00,True,241.50,408.50,20000.00,19758.50,False,False,0,0,1,2025-04-30,20000.0000,48.00000,21.3000,,
Attachment_B,8609211,218576,57dd3811-b5be-4548-8363-e61fde9a3065,218576,2025-05-31,2025-06-01,,2025-05-31T21:00:28,Payment,Regular: Transaction ID 8609211,820.63,True,272.82,547.81,30000.00,29727.18,False,False,0,0,1,2025-05-01,30000.0000,60.00000,21.5000,,
Attachment_B,8665220,218576,57dd3811-b5be-4548-8363-e61fde9a3065,218576,2025-06-30,2025-07-01,,2025-06-30T21:02:23,Payment,Regular: Transaction ID 8665220,820.63,True,295.31,525.32,29727.18,29431.87,False,False,0,0,1,2025-05-01,30000.0000,60.00000,21.5000,,
Attachment_B,8614602,267558,5933c20d-6f64-454d-bdec-257d1ca22cb5,267558,2025-06-04,2025-06-05,,2025-06-04T21:01:24,Payment,Regular: Transaction ID 8614602,357.30,True,236.91,120.39,7000.00,6763.09,False,False,0,0,1,2025-05-05,7000.0000,24.00000,20.2500,,
Attachment_B,8603265,310637,5a25c83d-d6af-4c7e-954a-81238b85df0b,310637,2025-05-29,2025-05-29,,2025-05-30T01:10:15,Payment,Regular: Transaction ID 8603265,800.00,True,563.67,236.33,21000.00,20436.33,False,False,0,0,1,2025-05-08,21000.0000,36.00000,19.5600,2025-07-22,
Attachment_B,8630993,356433,5b2ebd0e-ef1b-4c2b-9daf-7446c5919d99,356433,2025-06-13,2025-06-14,,2025-06-13T21:01:13,Payment,Regular: Transaction ID 8630993,332.62,True,183.11,149.51,9000.00,8816.89,False,False,0,0,1,2025-05-14,9000.0000,36.00000,19.5600,,
Attachment_B,8577423,128756,5bfb3052-a13b-48bf-8768-233e2e82983f,128756,2025-05-15,2025-05-16,,2025-05-15T21:02:13,Payment,Regular: Transaction ID 8577423,737.36,True,418.46,318.90,20000.00,19581.54,False,False,0,0,1,2025-04-16,20000.0000,36.00000,19.4000,2025-05-24,
Attachment_B,8597794,128756,5bfb3052-a13b-48bf-8768-233e2e82983f,128756,2025-05-24,2025-05-24,,2025-05-24T13:05:16,Payment,Payoff: Transaction ID 8597794,19664.80,True,19581.54,83.26,19581.54,0.00,False,False,0,0,1,2025-04-16,20000.0000,36.00000,19.4000,2025-05-24,
Attachment_B,8650233,356535,5e33ef73-4711-4793-998e-2c4717a4d322,356535,2025-06-21,2025-06-21,,2025-06-21T19:20:15,Payment,Regular: Transaction ID 8650233,8400.00,True,8179.07,220.93,10000.00,1820.93,False,False,0,0,1,2025-05-16,10000.0000,48.00000,22.4000,,
Attachment_B,8583245,234792,5eed3c4e-f8d7-40f3-a255-2a1f0d91e6a6,234792,2025-05-18,2025-05-19,,2025-05-18T21:00:16,Payment,Regular: Transaction ID 8583245,700.00,True,546.95,153.05,16800.00,16253.05,False,False,0,0,1,2025-05-02,16800.0000,36.00000,19.5600,,
Attachment_B,8658102,234792,5eed3c4e-f8d7-40f3-a255-2a1f0d91e6a6,234792,2025-06-27,2025-06-27,,2025-06-27T16:45:17,Payment,Regular: Transaction ID 8658102,700.00,True,360.31,339.69,16253.05,15892.74,False,False,0,0,1,2025-05-02,16800.0000,36.00000,19.5600,,
Attachment_B,8617519,356284,608a9228-57b5-4b65-946e-e7083f299178,356284,2025-06-06,2025-06-06,,2025-06-06T18:10:21,Payment,Regular: Transaction ID 8617519,400.00,True,324.67,75.33,8000.00,7675.33,False,False,0,0,1,2025-05-13,8000.0000,24.00000,14.3200,,
Attachment_B,8587577,128909,6b3dc843-35bc-41f8-a0f3-370af1bb9eab,128909,2025-05-20,2025-05-21,,2025-05-20T21:01:35,Payment,Regular: Transaction ID 8587577,622.78,True,272.64,350.14,20000.00,19727.36,False,False,0,0,1,2025-04-21,20000.0000,48.00000,21.3000,,
Attachment_B,8647604,128909,6b3dc843-35bc-41f8-a0f3-370af1bb9eab,128909,2025-06-20,2025-06-21,,2025-06-20T21:01:19,Payment,Regular: Transaction ID 8647604,622.78,True,265.90,356.88,19727.36,19461.46,False,False,0,0,1,2025-04-21,20000.0000,48.00000,21.3000,,
Attachment_B,8661431,357008,6c0df0cb-f6e7-42d7-9f69-a9b994373b98,357008,2025-06-28,2025-06-29,,2025-06-28T21:00:17,Payment,Regular: Transaction ID 8661431,876.50,True,495.33,381.17,24000.00,23504.67,False,False,0,0,1,2025-05-29,24000.0000,36.00000,18.7000,,
Attachment_B,8621332,203801,6d6666d7-4180-418e-b45a-e55c766b12d3,203801,2025-06-07,2025-06-07,2025-06-11,2025-06-07T12:55:16,Payment,Regular: Transaction ID 8621332,482.16,True,120.64,361.52,14879.36,14758.72,False,False,1,0,0,2025-04-30,15000.0000,48.00000,23.1500,,
Attachment_B,8661265,203801,6d6666d7-4180-418e-b45a-e55c766b12d3,203801,2025-06-28,2025-06-28,,2025-06-28T12:40:15,Payment,Regular: Transaction ID 8661265,482.16,True,0.00,482.16,15000.00,15000.00,False,False,0,0,1,2025-04-30,15000.0000,48.00000,23.1500,,
